时间(s),实际响应温度(℃),真实仿真温度(℃),阀门开度(%),误差(℃),Kp,Ti/10,Td*2
7.280000000000000000e+03,3.995247245818228521e+02,4.039415643739525308e+02,3.803325099980747126e+01,4.752754181771479125e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.281000000000000000e+03,4.000338018333148966e+02,4.043117149833198027e+02,4.077682166856154566e+01,-3.380183331489661214e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.282000000000000000e+03,4.001360215913767888e+02,4.037332859226879123e+02,3.617998530050279982e+01,-1.360215913767888196e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.283000000000000000e+03,3.999790805311026247e+02,4.050130828806189243e+02,3.544912994266591966e+01,2.091946889737528181e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.284000000000000000e+03,3.995214489502687343e+02,4.037756793141538765e+02,3.685984667325544706e+01,4.785510497312657208e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.285000000000000000e+03,3.996692979824767917e+02,4.040697664036246124e+02,4.051119127135464026e+01,3.307020175232082693e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.286000000000000000e+03,4.003518485792252477e+02,4.043028290830573610e+02,3.892105423127631525e+01,-3.518485792252477040e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.287000000000000000e+03,4.000016386493883829e+02,4.043318526590095416e+02,3.328963833005353479e+01,-1.638649388382873440e-03,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.288000000000000000e+03,4.000716071070675071e+02,4.043811916424069750e+02,3.659105876607594610e+01,-7.160710706750705867e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.289000000000000000e+03,4.000551338055701081e+02,4.044685783602711808e+02,3.606088048748219421e+01,-5.513380557010805205e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.290000000000000000e+03,4.005739880754401838e+02,4.044966828136913932e+02,3.627436973443342083e+01,-5.739880754401838203e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.291000000000000000e+03,3.993495864005978433e+02,4.045281972800851804e+02,3.213773077837154091e+01,6.504135994021567058e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.292000000000000000e+03,3.998501692808950452e+02,4.044891812388137282e+02,4.244804994050419111e+01,1.498307191049548237e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.293000000000000000e+03,3.995893992881931354e+02,4.046159223496159143e+02,3.769991304588411651e+01,4.106007118068646378e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.294000000000000000e+03,4.000136373924647728e+02,4.042889332440647081e+02,3.973772864896254475e+01,-1.363739246477280176e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.295000000000000000e+03,4.001226320803827434e+02,4.046344957849034927e+02,3.607083215449152647e+01,-1.226320803827434247e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.296000000000000000e+03,4.004413696700859759e+02,4.041188733674077298e+02,3.538544600898825365e+01,-4.413696700859759403e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.297000000000000000e+03,3.999607946816090589e+02,4.045575433146901219e+02,3.304362450269511697e+01,3.920531839094110182e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.298000000000000000e+03,4.000526834477489047e+02,4.037021376645338933e+02,3.732691910377916145e+01,-5.268344774890465487e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.299000000000000000e+03,3.998611658154658812e+02,4.045374934863914973e+02,3.646142579132024508e+01,1.388341845341187764e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.300000000000000000e+03,4.002263625547972197e+02,4.038990769576665230e+02,3.799262008118615341e+01,-2.263625547972196728e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.301000000000000000e+03,4.006193839173034803e+02,4.047090291164316795e+02,3.488506833023775044e+01,-6.193839173034803025e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.302000000000000000e+03,4.000300143064433200e+02,4.046194776934377728e+02,3.191173113972907771e+01,-3.001430644332003794e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.303000000000000000e+03,3.997081157458796383e+02,4.042511950875910998e+02,3.710420584482057649e+01,2.918842541203616747e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.304000000000000000e+03,4.004111442631306659e+02,4.043724953579573480e+02,3.949532784002496300e+01,-4.111442631306658768e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.305000000000000000e+03,4.001330954602728411e+02,4.047636676822615414e+02,3.342888115689653006e+01,-1.330954602728411373e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.306000000000000000e+03,4.001165179305821198e+02,4.040699469125502787e+02,3.597555214113134525e+01,-1.165179305821197886e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.307000000000000000e+03,3.998655274433948534e+02,4.047277346912744065e+02,3.607739955868496651e+01,1.344725566051465648e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.308000000000000000e+03,4.002374858446370922e+02,4.042233327232368651e+02,3.805620876439933653e+01,-2.374858446370922138e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.309000000000000000e+03,3.998929276266035799e+02,4.044305041853866101e+02,3.482053900114809863e+01,1.070723733964200619e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.310000000000000000e+03,4.000320408067040034e+02,4.045789097598432704e+02,3.773822120530330437e+01,-3.204080670400344388e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.311000000000000000e+03,4.001481302070155834e+02,4.043431812190262349e+02,3.642428918566413643e+01,-1.481302070155834372e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.312000000000000000e+03,4.007204876078131974e+02,4.039257819832564564e+02,3.547352474408266687e+01,-7.204876078131974282e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.313000000000000000e+03,3.996276511376058806e+02,4.044464743994692526e+02,3.094945386118333630e+01,3.723488623941193509e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.314000000000000000e+03,3.996680819122670414e+02,4.046854705332359003e+02,4.027121208571866617e+01,3.319180877329586110e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.315000000000000000e+03,3.995268111366715971e+02,4.046789031475258867e+02,3.937886537211501548e+01,4.731888633284029311e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.316000000000000000e+03,3.996854559261429358e+02,4.043663566698619434e+02,4.016868110231080635e+01,3.145440738570641770e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.317000000000000000e+03,3.994194133396930511e+02,4.047083694860604623e+02,3.854606068031314692e+01,5.805866603069489429e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.318000000000000000e+03,4.000813612280160214e+02,4.046446960029566640e+02,4.059720008220454446e+01,-8.136122801602141408e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.319000000000000000e+03,3.997576699764770183e+02,4.046263418530192553e+02,3.499920321843767823e+01,2.423300235229817190e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.320000000000000000e+03,3.998944687460056002e+02,4.041499283555998545e+02,3.798820997425764290e+01,1.055312539943997763e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.321000000000000000e+03,4.001167047088292748e+02,4.042038959630459090e+02,3.688439375293831546e+01,-1.167047088292747503e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.322000000000000000e+03,3.998626599663986667e+02,4.043176185965038485e+02,3.521715450841768558e+01,1.373400336013332890e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.323000000000000000e+03,3.998179806285245945e+02,4.045840066329097340e+02,3.753550540679271563e+01,1.820193714754054781e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.324000000000000000e+03,3.998282024115706577e+02,4.046536129121133740e+02,3.787152891691470558e+01,1.717975884293423405e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.325000000000000000e+03,3.999709685140773558e+02,4.041983193255267679e+02,3.774170378885096966e+01,2.903148592264415129e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.326000000000000000e+03,4.001862933298463645e+02,4.043862533657101608e+02,3.657551424184753586e+01,-1.862933298463644860e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.327000000000000000e+03,3.997867284614173968e+02,4.045580730070378195e+02,3.495576016450871748e+01,2.132715385826031707e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.328000000000000000e+03,3.995501218153836476e+02,4.045882049862748318e+02,3.843077239526522249e+01,4.498781846163524278e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.329000000000000000e+03,4.002620009866716941e+02,4.047413652579671748e+02,4.017815343596242883e+01,-2.620009866716941360e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.330000000000000000e+03,4.000535316571213116e+02,4.039522904481181627e+02,3.415142511556407356e+01,-5.353165712131158216e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.331000000000000000e+03,4.001051579673013521e+02,4.043412513350029940e+02,3.622981298289109020e+01,-1.051579673013520733e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.332000000000000000e+03,3.999006151379322205e+02,4.043077527209584900e+02,3.591085014800592745e+01,9.938486206777952248e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.333000000000000000e+03,3.997046275079673023e+02,4.040509069203446870e+02,3.766531937908481353e+01,2.953724920326976644e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.334000000000000000e+03,3.998588554460482669e+02,4.042552055573967777e+02,3.914493374325137864e+01,1.411445539517330872e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.335000000000000000e+03,4.006598995811940540e+02,4.042933132771474902e+02,3.767716100342332908e+01,-6.598995811940540079e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.336000000000000000e+03,4.003019638575563022e+02,4.047583757627102727e+02,3.121089395393017440e+01,-3.019638575563021732e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.337000000000000000e+03,4.001301704261963437e+02,4.043804299002860034e+02,3.474754660011286944e+01,-1.301704261963436693e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.338000000000000000e+03,3.996420482002936296e+02,4.043083726314549722e+02,3.626490905744888238e+01,3.579517997063703660e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.339000000000000000e+03,4.005396328972495894e+02,4.042077724255044018e+02,4.013322204315222308e+01,-5.396328972495894050e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.340000000000000000e+03,3.995106818622551259e+02,4.042294888418480241e+02,3.245638788207651970e+01,4.893181377448740932e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
