时间(s),实际响应温度(℃),真实仿真温度(℃),阀门开度(%),误差(℃)
1.634000000000000000e+03,4.003599372182891329e+02,4.041215048315275453e+02,3.514550358278687270e+01,-3.599372182891329430e-01
1.635000000000000000e+03,3.999324133395009540e+02,4.045354548667040717e+02,3.527329398909497371e+01,6.758666049904604733e-02
1.636000000000000000e+03,4.004901939561089534e+02,4.049461855059037134e+02,3.730843102659029142e+01,-4.901939561089534436e-01
1.637000000000000000e+03,4.001292314192084518e+02,4.046835070670628625e+02,3.477455039166553519e+01,-1.292314192084518254e-01
1.638000000000000000e+03,4.000555708189108373e+02,4.051527515825797536e+02,3.654812460577293365e+01,-5.557081891083726077e-02
1.639000000000000000e+03,4.003201535504747994e+02,4.045407761211935167e+02,3.681346044721513522e+01,-3.201535504747994310e-01
1.640000000000000000e+03,3.999978672065874434e+02,4.045979564210657600e+02,3.557956269811256078e+01,2.132793412556566182e-03
1.641000000000000000e+03,4.001522642132497367e+02,4.043128406771327263e+02,3.705316015302962285e+01,-1.522642132497367129e-01
1.642000000000000000e+03,4.002860741937667513e+02,4.049306011780127506e+02,3.625850771780732629e+01,-2.860741937667512502e-01
1.643000000000000000e+03,3.999298536235486949e+02,4.043762886566832435e+02,3.566437316587776252e+01,7.014637645130505916e-02
1.644000000000000000e+03,3.994230782709137770e+02,4.050219594214022436e+02,3.726740874786433011e+01,5.769217290862229675e-01
1.645000000000000000e+03,4.001468856380101897e+02,4.040890150938331544e+02,3.932771398331355783e+01,-1.468856380101897230e-01
1.646000000000000000e+03,4.000132622928269370e+02,4.047513332138263991e+02,3.582705851567857991e+01,-1.326229282693702771e-02
1.647000000000000000e+03,3.995107851904394920e+02,4.050728454465364052e+02,3.654224636189012188e+01,4.892148095605080016e-01
1.648000000000000000e+03,4.003089742215079809e+02,4.047722816940959092e+02,3.875497246894002501e+01,-3.089742215079809284e-01
1.649000000000000000e+03,4.010116446761143152e+02,4.042916886191384833e+02,3.504812298651592783e+01,-1.011644676114315189e+00
1.650000000000000000e+03,4.005742832704525540e+02,4.050463003966088422e+02,3.223156301827814474e+01,-5.742832704525540066e-01
1.651000000000000000e+03,3.996746500387692436e+02,4.052003300373266370e+02,3.463517816692195339e+01,3.253499612307564348e-01
1.652000000000000000e+03,3.999964920782217632e+02,4.041865239429013741e+02,3.864928458732791938e+01,3.507921778236777755e-03
1.653000000000000000e+03,3.999853439297114051e+02,4.036181334939299177e+02,3.685187139308825266e+01,1.465607028859494676e-02
1.654000000000000000e+03,3.997448881883399281e+02,4.044980855396237303e+02,3.679395822143231243e+01,2.551118116600719077e-01
1.655000000000000000e+03,4.004296782220021669e+02,4.047412312096982419e+02,3.776257353403261163e+01,-4.296782220021668763e-01
1.656000000000000000e+03,3.996218447792147686e+02,4.042710067626530304e+02,3.460615754213620932e+01,3.781552207852314496e-01
1.657000000000000000e+03,4.005877004442191378e+02,4.040450232854846604e+02,3.834945907361134942e+01,-5.877004442191378075e-01
1.658000000000000000e+03,3.999123522135033113e+02,4.039791565636666064e+02,3.388544195702861117e+01,8.764778649668869548e-02
1.659000000000000000e+03,3.998105508439559230e+02,4.040520391413414814e+02,3.713426546754759272e+01,1.894491560440769717e-01
1.660000000000000000e+03,3.997232438745542140e+02,4.043170939934844341e+02,3.743994111240576217e+01,2.767561254457859832e-01
1.661000000000000000e+03,3.995758182156068301e+02,4.043938646630340372e+02,3.767890262963687320e+01,4.241817843931698917e-01
1.662000000000000000e+03,3.998586463955098225e+02,4.046698513765159078e+02,3.818908656340647667e+01,1.413536044901775313e-01
1.663000000000000000e+03,3.999638536720186721e+02,4.046785911844793304e+02,3.680480329117417426e+01,3.614632798132788594e-02
1.664000000000000000e+03,3.997362962124696537e+02,4.042987842301744763e+02,3.639542155158338232e+01,2.637037875303462897e-01
1.665000000000000000e+03,3.997134839190553066e+02,4.041826132289965585e+02,3.747905017462263544e+01,2.865160809446933854e-01
1.666000000000000000e+03,3.998104249866782993e+02,4.045386396263459119e+02,3.753480171516533659e+01,1.895750133217006805e-01
1.667000000000000000e+03,3.999479202390166961e+02,4.046170879891542427e+02,3.708250381158502762e+01,5.207976098330391324e-02
1.668000000000000000e+03,3.996250921795372051e+02,4.046292508005967647e+02,3.652183618363364559e+01,3.749078204627949162e-01
1.669000000000000000e+03,4.001923598375848314e+02,4.050438104961897352e+02,3.803118407519558275e+01,-1.923598375848314390e-01
1.670000000000000000e+03,4.004124987008693779e+02,4.048231410596141018e+02,3.547637287931953409e+01,-4.124987008693778989e-01
1.671000000000000000e+03,4.004212273379920362e+02,4.048005915756037894e+02,3.474912460173214157e+01,-4.212273379920361549e-01
1.672000000000000000e+03,4.002724391776022230e+02,4.045461252690420224e+02,3.497097270575722661e+01,-2.724391776022230260e-01
1.673000000000000000e+03,4.000403325634636076e+02,4.043444244760084985e+02,3.578716105227756827e+01,-4.033256346360758471e-02
1.674000000000000000e+03,3.999190221524757476e+02,4.042293206528254927e+02,3.682580472771572033e+01,8.097784752425241095e-02
1.675000000000000000e+03,3.992360212484459225e+02,4.047807075690191709e+02,3.724949130904992245e+01,7.639787515540774621e-01
1.676000000000000000e+03,4.000861757643849046e+02,4.049049801263952872e+02,4.009355935724937581e+01,-8.617576438490459623e-02
1.677000000000000000e+03,4.002788388872203882e+02,4.042110282580885610e+02,3.596861310396942457e+01,-2.788388872203881874e-01
1.678000000000000000e+03,3.997925705433838175e+02,4.050814360899320263e+02,3.527899981323908918e+01,2.074294566161825060e-01
1.679000000000000000e+03,3.996310799569494066e+02,4.041623558184917329e+02,3.759310057545609851e+01,3.689200430505934492e-01
1.680000000000000000e+03,3.999606322145815511e+02,4.045740400675522892e+02,3.818663428044532537e+01,3.936778541844887513e-02
1.681000000000000000e+03,3.999863025954753084e+02,4.043131535003422528e+02,3.660415915582012758e+01,1.369740452469159209e-02
1.682000000000000000e+03,4.002028432314287443e+02,4.044450406148283719e+02,3.656538283176463011e+01,-2.028432314287442750e-01
1.683000000000000000e+03,3.999555446713940796e+02,4.043158224145638542e+02,3.568659472952929690e+01,4.445532860592038560e-02
1.684000000000000000e+03,3.996862808689283497e+02,4.042821266698754812e+02,3.691524040540897289e+01,3.137191310716502812e-01
1.685000000000000000e+03,4.000268795802182353e+02,4.045389555942243760e+02,3.806647883769525720e+01,-2.687958021823533272e-02
1.686000000000000000e+03,4.004656544754424772e+02,4.041745767252353971e+02,3.643813933566590180e+01,-4.656544754424771781e-01
1.687000000000000000e+03,4.001562353310188200e+02,4.050348367084779397e+02,3.460266421035576911e+01,-1.562353310188200339e-01
1.688000000000000000e+03,3.993395634530132270e+02,4.045265178192021835e+02,3.621571641192505808e+01,6.604365469867730098e-01
1.689000000000000000e+03,3.999853826403148105e+02,4.042800916158302016e+02,3.979138484632358086e+01,1.461735968518951267e-02
1.690000000000000000e+03,4.001693055576947131e+02,4.045514523942952110e+02,3.658651328427475846e+01,-1.693055576947131158e-01
1.691000000000000000e+03,3.998272950979898610e+02,4.049026421426905245e+02,3.585252968298969733e+01,1.727049020101389942e-01
1.692000000000000000e+03,4.000731586428106539e+02,4.043717385793663652e+02,3.748029326176023801e+01,-7.315864281065387331e-02
1.693000000000000000e+03,3.996343227757946011e+02,4.046381376622328503e+02,3.633190841939448745e+01,3.656772242053989430e-01
1.694000000000000000e+03,3.999675260129526464e+02,4.042308552406562399e+02,3.831771001019413347e+01,3.247398704735360297e-02
1.695000000000000000e+03,4.004172385334059641e+02,4.046922034549986051e+02,3.670144974558317585e+01,-4.172385334059640627e-01
1.696000000000000000e+03,3.999756428298404671e+02,4.041724631542456336e+02,3.480296608048979579e+01,2.435717015953287046e-02
1.697000000000000000e+03,4.002866584699388000e+02,4.046275942158644625e+02,3.698952015217908240e+01,-2.866584699387999535e-01
1.698000000000000000e+03,4.001878396076164108e+02,4.043325767973133793e+02,3.558521606768846368e+01,-1.878396076164108308e-01
1.699000000000000000e+03,3.998753468836085290e+02,4.049028259027844570e+02,3.613286460754112284e+01,1.246531163914710305e-01
1.700000000000000000e+03,3.998089618312063749e+02,4.046129682001975993e+02,3.751662044006748431e+01,1.910381687936251183e-01
1.701000000000000000e+03,4.002488407538831439e+02,4.046511531089345794e+02,3.766226121202834776e+01,-2.488407538831438615e-01
1.702000000000000000e+03,3.994355682683912505e+02,4.046225608389106014e+02,3.561747354949429933e+01,5.644317316087494873e-01
1.703000000000000000e+03,4.000435334020397136e+02,4.047875592470472839e+02,3.929454345339865284e+01,-4.353340203971356459e-02
1.704000000000000000e+03,3.996286685541122665e+02,4.043598882798289651e+02,3.633351686355282339e+01,3.713314458877334800e-01
1.705000000000000000e+03,3.996793401294907540e+02,4.047423258375943647e+02,3.824285169952592156e+01,3.206598705092460477e-01
1.706000000000000000e+03,4.003942686317968764e+02,4.041815726473270729e+02,3.789091387360799246e+01,-3.942686317968764342e-01
1.707000000000000000e+03,4.000948994041694959e+02,4.042102165252500754e+02,3.472329023229920608e+01,-9.489940416949593782e-02
1.708000000000000000e+03,3.999840787625009284e+02,4.043939590899842074e+02,3.635129324035795406e+01,1.592123749907159436e-02
1.709000000000000000e+03,3.998756454360333237e+02,4.043352480634466701e+02,3.689867150168360865e+01,1.243545639666763236e-01
1.710000000000000000e+03,4.000900669055560570e+02,4.045897407520023989e+02,3.735881881306379881e+01,-9.006690555605700865e-02
1.711000000000000000e+03,4.004285732571969447e+02,4.043585004333810389e+02,3.636371343392990241e+01,-4.285732571969447235e-01
1.712000000000000000e+03,3.996628658827064555e+02,4.044559795626606160e+02,3.495436547723226539e+01,3.371341172935444774e-01
1.713000000000000000e+03,3.999765033552133104e+02,4.043994532209905515e+02,3.849803526639477269e+01,2.349664478668955780e-02
1.714000000000000000e+03,4.005169060332141839e+02,4.042417614307736358e+02,3.688679142097348773e+01,-5.169060332141839353e-01
