时间(s),输入信号(%),动态响应温度(℃)
4342,43.99404008245286,404.6060925305626
4343,44.05038827597226,404.62092731554196
4344,44.21704381494953,404.6230800897525
4345,44.432541171764875,404.6051124938593
4346,44.639856703340435,404.5670111141741
4347,44.8216356885882,404.51517797856064
4348,44.97121513278017,404.4597920876795
4349,45.06680477453462,404.4112610809799
4350,45.09689734479346,404.3768702499721
4351,45.08164247039612,404.35967160905176
4352,45.04655143183759,404.36141640994845
4353,44.98939900715598,404.3853317672161
4354,44.89136534814264,404.4316629667689
4355,44.763898286890345,404.49302113513755
4356,44.6697676449256,404.55687930599254
4357,44.668680553887995,404.60793083589095
4358,44.74649883531216,404.6307532341989
4359,44.83320369252021,404.6184042917796
4360,44.87441100699876,404.57607313204556
4361,44.85283825131179,404.5140609516861
4362,44.770081282919875,404.4423929084789
4363,44.63375028437937,404.3720493615369
4364,44.46072432720453,404.3151683607935
4365,44.29887834531865,404.28184086015665
4366,44.21879678547425,404.27896315701366
4367,44.2552538417444,404.30870885841
4368,44.371578551327936,404.3635912228416
4369,44.49554266891914,404.4269744066355
4370,44.57947338512109,404.48037645477297
4371,44.614108591158775,404.51085355128623
4372,44.61253450368919,404.5155975094876
4373,44.61518276989618,404.49890580223905
4374,44.68192789380179,404.4652190999955
4375,44.841996583530076,404.4187527809876
4376,45.06606628074181,404.3653157434536
4377,45.29774382738712,404.31007470910436
4378,45.48831834322809,404.2565613606712
4379,45.606493153463155,404.2086441328575
4380,45.647917843217726,404.1720076292398
4381,45.63018142327941,404.1538430276636
4382,45.572480368786124,404.1600495312771
4383,45.49664814167858,404.1916615719404
4384,45.43992800952321,404.2450758976709
4385,45.445841597234484,404.31377524124747
4386,45.530397201732136,404.3863470622722
4387,45.659502459951206,404.447138258303
4388,45.76779185706383,404.48380226194894
4389,45.798283756060286,404.4921915520769
4390,45.728237978526174,404.47530046095454
4391,45.57324105995849,404.4433383012853
4392,45.38235265990171,404.41421706362155
4393,45.22482812009144,404.40641110241114
4394,45.16058841964727,404.42794424445464
4395,45.20628222351443,404.47423933721484
4396,45.328223933134105,404.5331464078195
4397,45.479888584676836,404.59102328627404
